"start";"end";"SurveyDate";"Distance";"Stream";"Type";"Quantity";"Species";"ReddStatus";"CarcassLocation";"Predation";"AdiposeFin";"Length_in";"Width_in";"Spawned";"CarcassAge";"Sex";"LifeStage";"Notes";"Location";"Location_latitude";"Location_longitude";"Location_altitude";"Location_precision";"Initials";"id";"uuid";"submission_time";"validation_status";"notes";"status";"submitted_by";"_version__";"tags";"index"
"2023-10-23T20:27:20.558-07:00";"2023-10-24T18:56:40.343-07:00";"2023-10-24";"225";"Piper's Creek";"Live";"1";"Coho";"";"";"";"";"";"";"";"";"Unknown";"Adult";"";"47.711769 -122.378417 8.51888656616211 3.943750357568265";"47.711769";"-122.378417";"8.51888656616211";"3.943750357568265";"Lrh";"281989412";"84290cc8-1d5d-419e-a6e8-3ddd91521ac6";"2023-10-24T18:00:31";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"11"
"2023-10-24T11:00:30.126-07:00";"2023-10-24T11:11:40.628-07:00";"2023-10-24";"275";"Piper's Creek";"Live";"1";"Unknown";"";"";"";"";"";"";"";"";"Unknown";"Adult";"In beaver pond";"47.711862 -122.378067 8.713802391663194 4.65618162975777";"47.711862";"-122.378067";"8.713802391663194";"4.65618162975777";"LRH";"281993446";"b3aca21c-1286-4de8-a8dd-650ab09c8e0c";"2023-10-24T18:11:41";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"12"
"2023-10-24T10:19:55.908-07:00";"2023-10-25T16:00:48.523-07:00";"2023-10-24";"15";"Piper's Creek";"Live";"1";"Coho";"";"";"";"";"";"";"";"";"Unknown";"Adult";"Culvert";"";"";"";"";"";"ELC";"282382711";"14ba7433-0bed-4734-8d4e-d24876bff114";"2023-10-25T23:00:49";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"13"
"2023-10-24T10:23:56.947-07:00";"2023-10-25T16:02:20.108-07:00";"2023-10-24";"0";"Piper's Creek";"Live";"1";"Unknown";"";"";"";"";"";"";"";"";"Unknown";"Adult";"Culvert";"";"";"";"";"";"ELC";"282382894";"078293de-258e-433b-b3d1-cfad08a38da6";"2023-10-25T23:02:20";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"14"
"2023-10-24T10:24:37.017-07:00";"2023-10-25T16:02:56.295-07:00";"2023-10-24";"30";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"Predation";"Unknown";"";"";"Unknown";"1-12 hours";"Female";"Adult";"Head only, fresh with eyes";"47.711975 -122.379298 7.060591885139052 41.39969647756149";"47.711975";"-122.379298";"7.060591885139052";"41.39969647756149";"ELC";"282382965";"fbf05f83-7982-4492-a9b8-f677bef5382b";"2023-10-25T23:02:56";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"15"
"2023-10-24T10:32:29.882-07:00";"2023-10-25T16:04:03.089-07:00";"2023-10-24";"40";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"Predation";"Unknown";"";"";"Unknown";"Greater than 24 hours";"Unknown";"Adult";"Head only";"47.711988 -122.379305 7.0341883124783635 56.836443476845396";"47.711988";"-122.379305";"7.0341883124783635";"56.836443476845396";"ELC";"282383053";"02c38c60-0292-4112-91a0-c8d1adb6ef62";"2023-10-25T23:04:03";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"16"
"2023-10-24T10:43:08.173-07:00";"2023-10-31T19:12:00.162-07:00";"2023-10-24";"8";"Piper's Creek";"Redd";"";"";"Inactive";"";"";"";"";"";"";"";"";"";"Most likely Coho since no Chum yet.";"47.711866 -122.379352 -25.18938639991829 8.470000267028809";"47.711866";"-122.379352";"-25.18938639991829";"8.470000267028809";"ELC";"282383399";"dcb95073-1faf-4e87-a4ba-88bdbb72dc8d";"2023-10-25T23:07:31";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"17"
"2023-10-24T10:41:41.378-07:00";"2023-10-25T16:08:19.241-07:00";"2023-10-24";"55";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"Predation";"Unknown";"";"";"Unknown";"Greater than 24 hours";"Unknown";"Adult";"Head only";"47.712009 -122.379044 7.371176719665527 80.65114047638133";"47.712009";"-122.379044";"7.371176719665527";"80.65114047638133";"ELC";"282383531";"bc02567a-55f5-492f-93e6-b7dc3e58479b";"2023-10-25T23:08:19";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"18"
"2023-10-28T09:27:18.019-07:00";"2023-10-28T09:49:08.048-07:00";"2023-10-28";"0";"Piper's Creek";"Dead";"";"Chum";"";"On creek bank";"Eye loss only";"";"24";"5";"Unspawned";"12-24 hours";"Male";"Adult";"";"47.710658 -122.380851 4.164241845719516 9.353446453258405";"47.710658";"-122.380851";"4.164241845719516";"9.353446453258405";"OVD";"283124722";"418fd0a1-19e5-455d-8b8f-12546113b6b3";"2023-10-28T16:49:08";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"19"
"2023-10-28T09:49:08.071-07:00";"2023-10-28T10:06:43.939-07:00";"2023-10-28";"20";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Male";"Adult";"";"47.710629 -122.38087 9.281431198120117 35";"47.710629";"-122.38087";"9.281431198120117";"35";"OVD";"283128911";"9451ca56-92bd-4bb8-9f4a-8fb9fc865c11";"2023-10-28T17:06:44";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"20"
"2023-10-28T10:06:43.975-07:00";"2023-10-28T10:16:03.985-07:00";"2023-10-28";"160";"Piper's Creek";"Live";"2";"Coho";"";"";"";"";"";"";"";"";"Female";"Adult";"";"47.712013 -122.379024 8.286434173583984 3.5355339059327373";"47.712013";"-122.379024";"8.286434173583984";"3.5355339059327373";"OVD";"283130732";"4d74cc33-fb5c-405c-accf-e3bb09be788a";"2023-10-28T17:16:05";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"21"
"2023-10-28T10:16:04.019-07:00";"2023-10-28T10:21:24.099-07:00";"2023-10-28";"180";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"Eye loss only";"Yes";"16.5";"4.5";"Partially spawned";"12-24 hours";"Male";"Adult";"";"47.711702 -122.378886 43.32540517579764 5.728334961202455";"47.711702";"-122.378886";"43.32540517579764";"5.728334961202455";"OVD";"283131795";"16fd9250-8623-407e-be67-06fb822e0c9e";"2023-10-28T17:21:25";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"22"
"2023-10-28T10:21:24.130-07:00";"2023-10-28T10:32:24.040-07:00";"2023-10-28";"275";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Unknown";"Adult";"";"47.711655 -122.378615 8.16158676147461 6.319285412529457";"47.711655";"-122.378615";"8.16158676147461";"6.319285412529457";"Ovd";"283134362";"225cf7af-cedd-4bed-adde-5bbcd830bfdf";"2023-10-28T17:32:24";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"23"
"2023-10-28T10:32:24.068-07:00";"2023-10-28T10:33:06.333-07:00";"2023-10-28";"310";"Piper's Creek";"Live";"1";"Coho";"";"";"";"";"";"";"";"";"Unknown";"Juvenile";"";"47.711906 -122.378346 15.566690444946289 51.21190833665509";"47.711906";"-122.378346";"15.566690444946289";"51.21190833665509";"OVD";"283134470";"1a3a2882-32ff-4f4c-b79d-a6c004ffe4e6";"2023-10-28T17:33:07";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"24"
"2023-10-28T09:04:55.925-07:00";"2023-10-28T10:37:05.954-07:00";"2023-10-28";"300";"Piper's Creek";"Dead";"";"Chum";"";"In creek";"Predation";"";"24";"6.5";"Unspawned";"Greater than 24 hours";"Male";"Adult";"";"47.711818 -122.37822 7.145748138427734 6.905478054071575";"47.711818";"-122.37822";"7.145748138427734";"6.905478054071575";"Et";"283135146";"ebc11ee2-7d7d-4a53-961b-65627d3036a7";"2023-10-28T17:37:06";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"25"
"2023-10-28T10:37:05.982-07:00";"2023-10-28T11:27:38.700-07:00";"2023-10-28";"0";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Female";"Adult";"Near tunnel";"";"";"";"";"";"ET";"283143053";"480ce431-afc0-4ca5-b9e8-4de26131a031";"2023-10-28T18:27:39";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"26"
"2023-10-28T08:49:54.508-07:00";"2023-10-28T10:11:57.554-07:00";"2023-10-28";"25";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Female";"Adult";"";"47.711754 -122.378629 -15.563574941911611 9.916999816894531";"47.711754";"-122.378629";"-15.563574941911611";"9.916999816894531";"SJ";"283145472";"5988e349-33fb-4fbb-b31d-f9823735a0a2";"2023-10-28T18:38:33";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"27"
"2023-10-31T09:35:08.899-07:00";"2023-11-07T17:56:41.262-08:00";"2023-10-31";"0";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Female";"Adult";"SLF 07NOV2023 dropping inaccurate location";"";"";"";"";"";"BMc";"283909134";"80aed266-12ad-4ab9-9be5-4ac2c7f943dc";"2023-10-31T16:36:30";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"28"
"2023-10-31T09:36:29.708-07:00";"2023-10-31T09:40:54.421-07:00";"2023-10-31";"60";"Piper's Creek";"Live";"1";"Unknown";"";"";"";"";"";"";"";"";"Unknown";"Adult";"";"47.711791 -122.379384 8.884609278291464 5.008777838999646";"47.711791";"-122.379384";"8.884609278291464";"5.008777838999646";"BMc";"283910775";"a28c3574-1252-4412-a125-b8a0106b8e52";"2023-10-31T16:40:55";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"29"
"2023-10-31T09:28:46.201-07:00";"2023-10-31T09:41:18.483-07:00";"2023-10-31";"140";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Male";"Adult";"";"47.712284 -122.378935 2.982846975326538 81.63239537583839";"47.712284";"-122.378935";"2.982846975326538";"81.63239537583839";"ELC";"283911111";"7c31df74-b290-4b7c-b9be-352a565fff44";"2023-10-31T16:41:44";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"30"
"2023-10-31T09:40:54.440-07:00";"2023-10-31T09:42:35.156-07:00";"2023-10-31";"95";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Female";"Adult";"Maybe building a redd or just touching gravel.";"47.711945 -122.379184 6.698604583740234 4.884964482538922";"47.711945";"-122.379184";"6.698604583740234";"4.884964482538922";"BMc";"283911370";"41054412-726e-4f44-b95d-bbb4446ac2ff";"2023-10-31T16:42:36";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"31"
"2023-10-31T09:41:18.528-07:00";"2023-10-31T09:44:52.238-07:00";"2023-10-31";"15";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Female";"Adult";"With Male";"47.712284 -122.378935 2.9776883125305176 81.63239537583839";"47.712284";"-122.378935";"2.9776883125305176";"81.63239537583839";"ELC";"283912046";"a1e426fb-0a7f-4462-8d3a-a2fb373e9205";"2023-10-31T16:44:53";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"32"
"2023-10-31T09:44:52.260-07:00";"2023-10-31T09:45:55.344-07:00";"2023-10-31";"140";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Female";"Adult";"";"47.711821 -122.378937 7.4900329345837235 4.9748096832161135";"47.711821";"-122.378937";"7.4900329345837235";"4.9748096832161135";"RLC";"283912336";"02e7e104-f3c8-4a04-9635-0acd3c7f50cd";"2023-10-31T16:45:56";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"33"
"2023-10-31T09:43:32.585-07:00";"2023-10-31T09:48:53.240-07:00";"2023-10-31";"0";"Piper's Creek";"Live";"1";"Sea-run Cutthroat";"";"";"";"";"";"";"";"";"Female";"Adult";"At beach";"";"";"";"";"";"JD";"283913448";"cbc6d0fc-2381-4792-b033-b61ee36288f2";"2023-10-31T16:48:54";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"34"
"2023-10-31T09:42:35.171-07:00";"2023-10-31T09:51:33.648-07:00";"2023-10-31";"170";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Female";"Adult";"";"47.711932 -122.379192 7.120784815400839 4.7232031763049545";"47.711932";"-122.379192";"7.120784815400839";"4.7232031763049545";"BMc";"283914415";"43a5ec3d-ecbe-4478-bde2-2e629bcd6cd6";"2023-10-31T16:51:34";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"35"
"2023-10-31T09:51:33.666-07:00";"2023-10-31T09:52:12.436-07:00";"2023-10-31";"270";"Piper's Creek";"Live";"1";"Coho";"";"";"";"";"";"";"";"";"Unknown";"Adult";"";"47.711799 -122.378573 7.420467376708984 14.22329963486891";"47.711799";"-122.378573";"7.420467376708984";"14.22329963486891";"BMc";"283914643";"06d3419b-5f1a-4daa-83fd-aa2a02fee7b1";"2023-10-31T16:52:12";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"36"
"2023-10-31T09:48:53.279-07:00";"2023-10-31T09:58:29.137-07:00";"2023-10-31";"0";"Piper's Creek";"Dead";"";"Chum";"";"In creek";"Predation";"";"";"";"Unknown";"Greater than 24 hours";"Male";"Adult";"On the beach";"";"";"";"";"";"JD";"283916704";"40102cc3-62b0-487c-ab3c-21329117cd60";"2023-10-31T16:58:30";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"37"
"2023-10-31T09:52:12.452-07:00";"2023-10-31T10:05:29.927-07:00";"2023-10-31";"300";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Female";"Adult";"Exhausted in 2” water, can’t get over dam.";"47.711864 -122.377849 9.32235336303711 6.434942011046673";"47.711864";"-122.377849";"9.32235336303711";"6.434942011046673";"BMc";"283919299";"9fe67881-ddbc-4e38-8de4-7c8b5342cd27";"2023-10-31T17:05:30";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"38"
"2023-10-31T09:58:29.198-07:00";"2023-11-07T17:38:37.666-08:00";"2023-10-31";"0";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Male";"Adult";"In culvert. SLF 07NOV2023 dropping inaccurate location";"";"";"";"";"";"JD";"283919505";"f72d16b3-5e88-4528-b0fb-ae0c268cd15d";"2023-10-31T17:06:20";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"39"
"2023-10-31T10:06:19.710-07:00";"2023-10-31T10:07:18.995-07:00";"2023-10-31";"0";"Piper's Creek";"Live";"3";"Unknown";"";"";"";"";"";"";"";"";"Unknown";"Adult";"In culvert";"47.711932 -122.379329 11.007191181182861 35.83985511954016";"47.711932";"-122.379329";"11.007191181182861";"35.83985511954016";"JD";"283919753";"9ac3790e-ba7a-4b98-acb6-af1722e86495";"2023-10-31T17:07:19";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"40"
"2023-10-31T10:07:19.021-07:00";"2023-10-31T10:15:06.890-07:00";"2023-10-31";"60";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"Predation";"Unknown";"";"";"Unknown";"12-24 hours";"Female";"Adult";"Head only";"47.711785 -122.379468 6.622747981920838 14.359174976770365";"47.711785";"-122.379468";"6.622747981920838";"14.359174976770365";"JD";"283922694";"a990548f-c726-49e3-b22e-519872da45fa";"2023-10-31T17:15:08";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"41"
"2023-10-31T10:15:06.924-07:00";"2023-10-31T10:25:22.293-07:00";"2023-10-31";"100";"Piper's Creek";"Dead";"";"Chum";"";"In creek";"Predation";"";"25";"";"Unknown";"Greater than 24 hours";"Female";"Adult";"Couldn’t tell width";"47.711943 -122.379139 11.169060230255127 49.63510699157535";"47.711943";"-122.379139";"11.169060230255127";"49.63510699157535";"JD";"283925423";"0b9dad4c-f179-46ac-917f-24bc1a3afd07";"2023-10-31T17:25:23";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"42"
"2023-10-31T10:24:10.980-07:00";"2023-10-31T10:27:51.661-07:00";"2023-10-31";"90";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"No damage";"Yes";"20.5";"4.5";"Unspawned";"";"Female";"Adult";"";"47.711873 -122.3792 -18.035430908203125 8.20199966430664";"47.711873";"-122.3792";"-18.035430908203125";"8.20199966430664";"Sean D";"283926342";"8782b487-2787-42c8-8fd0-cd3c6e0735ed";"2023-10-31T17:27:53";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"43"
"2023-10-31T10:27:51.706-07:00";"2023-10-31T10:35:36.064-07:00";"2023-10-31";"152";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"Predation";"Yes";"";"4";"Unknown";"1-12 hours";"Female";"Adult";"";"47.711783 -122.378861 -27.519439697265625 11.27299976348877";"47.711783";"-122.378861";"-27.519439697265625";"11.27299976348877";"Sean daley";"283928731";"b78ecbcc-9da8-4d30-8e0a-acec238ea575";"2023-10-31T17:35:37";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"44"
"2023-10-31T10:05:29.957-07:00";"2023-11-14T22:51:57.821-08:00";"2023-10-31";"290";"Piper's Creek";"Dead";"";"Chum";"";"In creek";"Predation";"";"21";"6";"Unknown";"1-12 hours";"Male";"Adult";"Likely predated by coyote. SLF 07NOV2023 dropping inaccurate location. 14NOV2023 SLF changed Life Stage from Juvenile as this is a large fish";"";"";"";"";"";"BMc";"283930114";"eea1a14f-0741-4504-a711-d25f6b97ab7c";"2023-10-31T17:39:42";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"45"
"2023-11-04T08:29:25.261-07:00";"2023-11-04T09:59:04.482-07:00";"2023-11-04";"0";"Piper's Creek";"Dead";"";"Chum";"";"Outside of creek";"Predation";"";"24";"5";"Unknown";"1-12 hours";"Female";"Adult";"Unspawned or partial spawn. Unknown due to predation";"47.711863 -122.380311 4.0259211072698236 4.747578640932402";"47.711863";"-122.380311";"4.0259211072698236";"4.747578640932402";"ET";"284913911";"dcb285b6-7695-40aa-ac10-d1011fb462a9";"2023-11-04T16:59:05";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"46"
"2023-10-31T10:35:36.112-07:00";"2023-11-04T09:59:43.744-07:00";"2023-10-31";"45";"Piper's Creek";"Live";"1";"Unknown";"";"";"";"";"";"";"";"";"Unknown";"Adult";"";"47.711774 -122.379232 12.04803466796875 7.541999816894531";"47.711774";"-122.379232";"12.04803466796875";"7.541999816894531";"Sean daley";"284913984";"e9919d6b-5a06-4321-bc98-cf342ffb6071";"2023-11-04T16:59:46";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"47"
"2023-11-04T09:49:41.052-07:00";"2023-11-04T10:06:17.127-07:00";"2023-11-04";"100";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Unknown";"Adult";"";"47.711843 -122.379285 7.059785405173898 79.7020893376508";"47.711843";"-122.379285";"7.059785405173898";"79.7020893376508";"Cp";"284914964";"717fcc67-aa90-4815-b041-5b426fab10b2";"2023-11-04T17:06:18";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"48"
"2023-11-04T09:59:04.522-07:00";"2023-11-04T10:06:44.397-07:00";"2023-11-04";"0";"Piper's Creek";"Live";"4";"Unknown";"";"";"";"";"";"";"";"";"Unknown";"Adult";"";"47.711952 -122.379895 3.1606102529913187 4.577814581674669";"47.711952";"-122.379895";"3.1606102529913187";"4.577814581674669";"ET";"284915073";"d74c261f-b49a-4414-8512-9d1a992e4baa";"2023-11-04T17:06:45";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"49"
"2023-11-04T10:06:44.424-07:00";"2023-11-04T10:07:09.836-07:00";"2023-11-04";"0";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Female";"Adult";"";"47.711955 -122.379856 6.690070152282715 37.81143829957438";"47.711955";"-122.379856";"6.690070152282715";"37.81143829957438";"ET";"284915133";"3af85e69-4d65-48c4-b6cd-7bf941033d42";"2023-11-04T17:07:10";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"50"
"2023-11-04T10:06:17.152-07:00";"2023-11-04T10:11:02.991-07:00";"2023-11-04";"250";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Female";"Adult";"";"47.711796 -122.379013 3.977755546569824 82.00793519971025";"47.711796";"-122.379013";"3.977755546569824";"82.00793519971025";"Cp";"284915577";"00c7f1aa-71f6-4f27-acfb-5afe783590e9";"2023-11-04T17:11:03";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"51"
"2023-11-04T09:59:43.822-07:00";"2023-11-04T10:11:48.692-07:00";"2023-11-04";"275";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Male";"Adult";"";"";"";"";"";"";"SD";"284915705";"df57ec12-a08b-42f9-acbf-92e238a30199";"2023-11-04T17:11:51";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"52"
"2023-11-04T10:11:48.750-07:00";"2023-11-04T10:12:23.454-07:00";"2023-11-04";"275";"Piper's Creek";"Live";"1";"Chum";"";"";"";"";"";"";"";"";"Female";"Adult";"";"";"";"";"";"";"Sd";"284915780";"8d60c1c2-c4e1-422a-9650-c679a26ee576";"2023-11-04T17:12:25";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"53"
