"","address","type","datetime","latitude","longitude","report_location","incident_number"
"35","210 Alaskan Way S","Aid Response","2025-10-14T18:28:00.000",47.600593,-122.335915,"POINT (-122.335915 47.600593)","F250142701"
"36","8645 44th Ave S","Illegal Burn","2025-10-14T18:26:00.000",47.525696,-122.278058,"POINT (-122.278058 47.525696)","F250142700"
"37","1551 S Angeline St","Aid Response","2025-10-14T18:23:00.000",47.56055,-122.312708,"POINT (-122.312708 47.56055)","F250142699"
"38","Green Lake Dr N / Ashworth Ave N","MVI - Motor Vehicle Incident","2025-10-14T18:22:00.000",47.686214,-122.3391,"POINT (-122.3391 47.686214)","F250142698"
"39","1431 Minor Ave","Automatic Medical Alarm","2025-10-14T18:21:00.000",47.613247,-122.327187,"POINT (-122.327187 47.613247)","F250142697"
"40","10030 59TH AVE S","Alarm Bell","2025-10-14T18:11:00.000",47.51121,-122.259412,"POINT (-122.259412 47.51121)","F250142692"
"41","Broadway E / E John St","Aid Response","2025-10-14T18:10:00.000",47.619908,-122.320873,"POINT (-122.320873 47.619908)","F250142691"
"42","1062 E Blaine St","Automatic Fire Alarm Resd","2025-10-14T18:09:00.000",47.635027,-122.318778,"POINT (-122.318778 47.635027)","F250142690"
"43","1st Ave / Union St","Investigate Out Of Service","2025-10-14T18:06:00.000",47.607828,-122.339105,"POINT (-122.339105 47.607828)","F250142689"
"44","4018 PASADENA PL NE","MVI Medic","2025-10-14T18:02:00.000",47.656026,-122.32189,"POINT (-122.32189 47.656026)","F250142685"
"45","2521 Lake Park Dr S","Illegal Burn","2025-10-14T17:56:00.000",47.58039,-122.288127,"POINT (-122.288127 47.58039)","F250142684"
"46","4TH AVE / PIKE ST","BC Aid Response","2025-10-14T17:48:00.000",47.610214,-122.336683,"POINT (-122.336683 47.610214)","F250142680"
"47","939 19th Ave E","Automatic Fire Alarm Resd","2025-10-14T17:46:00.000",47.627201,-122.307292,"POINT (-122.307292 47.627201)","F250142679"
"48","5116 S Brandon St","Aid Response","2025-10-14T17:40:00.000",47.553352,-122.269593,"POINT (-122.269593 47.553352)","F250142678"
"49","4399 E MADISON ST","Water Rescue Response","2025-10-14T17:27:00.000",47.636901,-122.276271,"POINT (-122.276271 47.636901)","F250142674"
"50","4750 15th Ave Ne","Food On The Stove","2025-10-14T17:23:00.000",47.663381,-122.311961,"POINT (-122.311961 47.663381)","F250142672"
"51","2411 Alaskan Way","Aid Response","2025-10-14T17:10:00.000",47.612258,-122.35014,"POINT (-122.35014 47.612258)","F250142671"
"52","2140 N Northgate Way","Aid Response","2025-10-14T17:05:00.000",47.708659,-122.333457,"POINT (-122.333457 47.708659)","F250142670"
"53","2132 N NORTHGATE WAY","Medic Response","2025-10-14T16:56:00.000",47.70866,-122.333564,"POINT (-122.333564 47.70866)","F250142668"
"54","14027 Lake City Way Ne","Aid Response Yellow","2025-10-14T16:53:00.000",47.730274,-122.292316,"POINT (-122.292316 47.730274)","F250142667"
"55","5270 Rainier Ave S","Low Acuity Response","2025-10-14T16:39:00.000",47.554937,-122.282393,"POINT (-122.282393 47.554937)","F250142660"
"56","5700 1st Ave S","Rubbish Fire","2025-10-14T16:39:00.000",47.551903,-122.334216,"POINT (-122.334216 47.551903)","F250142661"
"57","4th Ave S / Edgar Martinez Dr S","Rubbish Fire","2025-10-14T16:38:00.000",47.590311,-122.32905,"POINT (-122.32905 47.590311)","F250142656"
"58","3111 25th Ave S","Aid Response Yellow","2025-10-14T16:36:00.000",47.575802,-122.300289,"POINT (-122.300289 47.575802)","F250142655"
"59","120 1st Ave W","Auto Fire Alarm","2025-10-14T16:34:00.000",47.61917,-122.358058,"POINT (-122.358058 47.61917)","F250142653"
"60","3111 W Mcgraw St","Aid Response","2025-10-14T16:34:00.000",47.639559,-122.397126,"POINT (-122.397126 47.639559)","F250142654"
"61","2801 Western Ave","Rescue Elevator","2025-10-14T16:34:00.000",47.615689,-122.352409,"POINT (-122.352409 47.615689)","F250142652"
"62","4210 S Raymond St","Aid Response","2025-10-14T16:34:00.000",47.54818,-122.280678,"POINT (-122.280678 47.54818)","F250142651"
"63","1100 23rd Ave","Low Acuity Response","2025-10-14T16:29:00.000",47.611734,-122.302601,"POINT (-122.302601 47.611734)","F250142650"
"64","199 Alaskan Way S","Aid Response","2025-10-14T16:21:00.000",47.600881,-122.335976,"POINT (-122.335976 47.600881)","F250142646"
"65","1814 Harvard Ave","Auto Fire Alarm","2025-10-14T16:18:00.000",47.617718,-122.322171,"POINT (-122.322171 47.617718)","F250142645"
"66","12th Ave S / S Jackson St","Low Acuity Response","2025-10-14T16:12:00.000",47.599187,-122.317225,"POINT (-122.317225 47.599187)","F250142643"
"67","13201 Aurora Ave N","Aid Response","2025-10-14T16:11:00.000",47.724671,-122.344993,"POINT (-122.344993 47.724671)","F250142641"
"68","5700 1st Ave S","Illegal Burn","2025-10-14T16:08:00.000",47.551903,-122.334216,"POINT (-122.334216 47.551903)","F250142640"
"69","10500 Meridian Ave N","Aid Response","2025-10-14T16:06:00.000",47.705342,-122.333935,"POINT (-122.333935 47.705342)","F250142638"
"70","9455 27th Ave Sw","Low Acuity Response","2025-10-14T16:05:00.000",47.518178,-122.367277,"POINT (-122.367277 47.518178)","F250142637"
"71","28th Ave Nw / Nw Market St","Aid Response","2025-10-14T16:04:00.000",47.668655,-122.392858,"POINT (-122.392858 47.668655)","F250142636"
"72","17th Ave Nw / Nw 56th St","Aid Response","2025-10-14T15:49:00.000",47.669446,-122.378884,"POINT (-122.378884 47.669446)","F250142632"
"73","12th Ave S / S Weller St","Low Acuity Response","2025-10-14T15:37:00.000",47.5975,-122.317227,"POINT (-122.317227 47.5975)","F250142631"
"74","1455 Nw Leary Way","Aid Response","2025-10-14T15:35:00.000",47.663663,-122.374988,"POINT (-122.374988 47.663663)","F250142630"
"75","Rainier Ave S / S Angeline St","Aid Response","2025-10-14T15:34:00.000",47.559464,-122.285964,"POINT (-122.285964 47.559464)","F250142629"
"76","1521 Broadway","Aid Response","2025-10-14T15:32:00.000",47.614313,-122.320784,"POINT (-122.320784 47.614313)","F250142628"
"77","1630 43rd Ave E","Auto Fire Alarm","2025-10-14T15:30:00.000",47.633523,-122.277157,"POINT (-122.277157 47.633523)","F250142627"
"78","11030 5th Ave Ne","Aid Response","2025-10-14T15:29:00.000",47.709488,-122.323301,"POINT (-122.323301 47.709488)","F250142626"
"79","1418 Nw 61st St","Alarm Bell","2025-10-14T15:27:00.000",47.673087,-122.374036,"POINT (-122.374036 47.673087)","F250142625"
"80","400 Broad St","Aid Response","2025-10-14T15:24:00.000",47.619744,-122.348859,"POINT (-122.348859 47.619744)","F250142624"
"81","1145 Broadway","Medic Response","2025-10-14T15:23:00.000",47.611511,-122.32076,"POINT (-122.32076 47.611511)","F250142623"
"82","1503 18th Ave","Aid Response","2025-10-14T15:21:00.000",47.614127,-122.308854,"POINT (-122.308854 47.614127)","F250142621"
"83","710 Cherry St","Aid Response","2025-10-14T15:20:00.000",47.605387,-122.327511,"POINT (-122.327511 47.605387)","F250142620"
"84","1901 Western Ave","Aid Response","2025-10-14T15:19:00.000",47.610056,-122.34329,"POINT (-122.34329 47.610056)","F250142619"
"85","2nd Ave / Lenora St","Aid Response","2025-10-14T15:17:00.000",47.612502,-122.343053,"POINT (-122.343053 47.612502)","F250142618"
"86","6335 35th Ave Sw","Aid Response","2025-10-14T15:17:00.000",47.546182,-122.376408,"POINT (-122.376408 47.546182)","F250142617"
"87","815 E Edgar St","Aid Response","2025-10-14T15:10:00.000",47.644488,-122.321914,"POINT (-122.321914 47.644488)","F250142615"
"88","17th Ave Ne / Lake City Way Ne","MVI - Motor Vehicle Incident","2025-10-14T15:06:00.000",47.688998,-122.310052,"POINT (-122.310052 47.688998)","F250142614"
"89","425 Harvard Ave E","Dumpster Fire","2025-10-14T15:04:00.000",47.622273,-122.322022,"POINT (-122.322022 47.622273)","F250142613"
"90","Sb I5 At Yesler","MVI Freeway","2025-10-14T15:01:00.000",47.607412,-122.330402,"POINT (-122.330402 47.607412)","F250142611"
"91","747 N 135th St","Aid Response","2025-10-14T14:58:00.000",47.726803,-122.347793,"POINT (-122.347793 47.726803)","F250142609"
"92","3621 33rd Ave S","Aid Response","2025-10-14T14:55:00.000",47.571408,-122.291001,"POINT (-122.291001 47.571408)","F250142608"
"93","2022 Boren Ave","Crisis Center","2025-10-14T14:53:00.000",47.617973,-122.334445,"POINT (-122.334445 47.617973)","F250142607"
"94","133 31st Ave","Automatic Fire Alarm Resd","2025-10-14T14:48:00.000",47.602157,-122.292511,"POINT (-122.292511 47.602157)","F250142606"
"95","721 Pine St","Auto Fire Alarm","2025-10-14T14:45:00.000",47.612701,-122.334021,"POINT (-122.334021 47.612701)","F250142605"
"96","509 3rd Ave","Aid Response","2025-10-14T14:41:00.000",47.602114,-122.330809,"POINT (-122.330809 47.602114)","F250142603"
"97","308 14th Ave E","Aid Response","2025-10-14T14:37:00.000",47.62118,-122.314685,"POINT (-122.314685 47.62118)","F250142602"
"98","11th Ave Ne / Ne 56th St","MVI - Motor Vehicle Incident","2025-10-14T14:30:00.000",47.669431,-122.316287,"POINT (-122.316287 47.669431)","F250142599"
"99","12312 38th Ave Ne","Medic Response- 6 per Rule","2025-10-14T14:27:00.000",47.71745,-122.287305,"POINT (-122.287305 47.71745)","F250142598"
"100","301 2nd Ave S","Low Acuity Response","2025-10-14T14:25:00.000",47.600032,-122.331573,"POINT (-122.331573 47.600032)","F250142597"
"101","4402 33rd Ave S","Aid Response","2025-10-14T14:08:00.000",47.564333,-122.29164,"POINT (-122.29164 47.564333)","F250142592"
"102","2715 25th Ave S","Aid Response","2025-10-14T13:59:00.000",47.579039,-122.300283,"POINT (-122.300283 47.579039)","F250142590"
"103","3621 33rd Ave S","Aid Response","2025-10-14T13:59:00.000",47.571408,-122.291001,"POINT (-122.291001 47.571408)","F250142591"
"104","5727 37th Ave S","Auto Fire Alarm","2025-10-14T13:58:00.000",47.551024,-122.286266,"POINT (-122.286266 47.551024)","F250142589"
"105","13000 Linden Ave N","Aid Response","2025-10-14T13:55:00.000",47.723218,-122.348195,"POINT (-122.348195 47.723218)","F250142588"
"106","301 Minor Ave N","Auto Fire Alarm","2025-10-14T13:47:00.000",47.620814,-122.332986,"POINT (-122.332986 47.620814)","F250142585"
"107","588 Bell St","Aid Response","2025-10-14T13:45:00.000",47.61663,-122.342302,"POINT (-122.342302 47.61663)","F250142583"
"108","5802 24th Ave Nw","Medic Response- 6 per Rule","2025-10-14T13:43:00.000",47.670923,-122.387587,"POINT (-122.387587 47.670923)","F250142580"
"109","508 N 74th St","Aid Response Yellow","2025-10-14T13:42:00.000",47.682557,-122.352473,"POINT (-122.352473 47.682557)","F250142578"
"110","12th Ave S / S Jackson St","Medic Response","2025-10-14T13:41:00.000",47.599187,-122.317225,"POINT (-122.317225 47.599187)","F250142577"
"111","588 Bell St","Medic Response","2025-10-14T13:37:00.000",47.61663,-122.342302,"POINT (-122.342302 47.61663)","F250142576"
"112","1701 Broadway","Aid Response","2025-10-14T13:25:00.000",47.616403,-122.320817,"POINT (-122.320817 47.616403)","F250142575"
"113","9th Ave / James St","Aid Response","2025-10-14T13:23:00.000",47.605555,-122.324749,"POINT (-122.324749 47.605555)","F250142573"
"114","11051 34th Ave Ne","Aid Response","2025-10-14T13:20:00.000",47.708744,-122.292099,"POINT (-122.292099 47.708744)","F250142571"
"115","2435 Nw 64th St","Activated CO Detector","2025-10-14T13:20:00.000",47.675284,-122.388022,"POINT (-122.388022 47.675284)","F250142572"
"116","657 S King St","Low Acuity Response","2025-10-14T13:12:00.000",47.598351,-122.324677,"POINT (-122.324677 47.598351)","F250142568"
"117","2400 N 65th St","Aid Response","2025-10-14T13:08:00.000",47.67595,-122.329611,"POINT (-122.329611 47.67595)","F250142567"
"118","E Pine St / Nagle Pl","Aid Response Yellow","2025-10-14T13:05:00.000",47.615241,-122.320016,"POINT (-122.320016 47.615241)","F250142566"
"119","7704 46th Ave Sw","Aid Response","2025-10-14T13:04:00.000",47.533614,-122.391535,"POINT (-122.391535 47.533614)","F250142565"
"120","3004 E Yesler Way","Aid Response","2025-10-14T12:57:00.000",47.60165,-122.293685,"POINT (-122.293685 47.60165)","F250142564"
"121","1250 1st Ave S","Aid Response","2025-10-14T12:50:00.000",47.592049,-122.334195,"POINT (-122.334195 47.592049)","F250142560"
"122","30th Ave Ne / Ne 127th St","Aid Response","2025-10-14T12:44:00.000",47.721092,-122.296336,"POINT (-122.296336 47.721092)","F250142557"
"123","2200 E Madison St","Aid Response","2025-10-14T12:42:00.000",47.61842,-122.30365,"POINT (-122.30365 47.61842)","F250142556"
"124","Broadway / E Pine St","Aid Response Yellow","2025-10-14T12:37:00.000",47.615235,-122.320799,"POINT (-122.320799 47.615235)","F250142553"
"125","116 Fairview Ave N","Aid Response","2025-10-14T12:32:00.000",47.618693,-122.334256,"POINT (-122.334256 47.618693)","F250142552"
"126","9715 6th Ave Nw","Automatic Fire Alarm Resd","2025-10-14T12:25:00.000",47.699744,-122.363383,"POINT (-122.363383 47.699744)","F250142550"
"127","1418 Nw 61st St","Alarm Bell","2025-10-14T12:24:00.000",47.673087,-122.374036,"POINT (-122.374036 47.673087)","F250142547"
"128","700 Seneca St","Illegal Burn","2025-10-14T12:24:00.000",47.609015,-122.330631,"POINT (-122.330631 47.609015)","F250142545"
"129","Rainier Ave S / S Cloverdale Pl","Medic Response- Overdose","2025-10-14T12:23:00.000",47.526171,-122.269983,"POINT (-122.269983 47.526171)","F250142546"
"130","901 Rainier Ave S","Aid Response","2025-10-14T12:21:00.000",47.594356,-122.310367,"POINT (-122.310367 47.594356)","F250142544"
"131","3300 NE 125TH ST","Auto Fire Alarm","2025-10-14T12:19:00.000",47.719265,-122.29273,"POINT (-122.29273 47.719265)","F250142543"
"132","University Way Ne / Ne 47th St","Aid Response","2025-10-14T12:18:00.000",47.663092,-122.313102,"POINT (-122.313102 47.663092)","F250142541"
"133","14002 Linden Ave N","Aid Response","2025-10-14T12:10:00.000",47.730569,-122.347758,"POINT (-122.347758 47.730569)","F250142537"
"134","5228 15th Ave Ne","Medic Response- Overdose","2025-10-14T12:08:00.000",47.666621,-122.311913,"POINT (-122.311913 47.666621)","F250142535"
"135","1314 Howell St","Aid Response","2025-10-14T12:06:00.000",47.617836,-122.329273,"POINT (-122.329273 47.617836)","F250142533"
"136","302 Ne Northgate Way","Rescue Elevator","2025-10-14T12:05:00.000",47.708611,-122.325928,"POINT (-122.325928 47.708611)","F250142531"
"137","10th Ave / E Pine St","Aid Response","2025-10-14T11:58:00.000",47.615245,-122.319465,"POINT (-122.319465 47.615245)","F250142527"
"138","3200 3RD AVE W","Medic Response","2025-10-14T11:58:00.000",47.648663,-122.360887,"POINT (-122.360887 47.648663)","F250142526"
"139","618 John St","Aid Response","2025-10-14T11:52:00.000",47.619728,-122.344763,"POINT (-122.344763 47.619728)","F250142524"
"140","2120 S Plum St","Aid Response","2025-10-14T11:48:00.000",47.585503,-122.305275,"POINT (-122.305275 47.585503)","F250142523"
"141","9th Ave / Seneca St","Aid Response","2025-10-14T11:46:00.000",47.609836,-122.328666,"POINT (-122.328666 47.609836)","F250142522"
"142","226 31st Ave E","Aid Response","2025-10-14T11:45:00.000",47.620455,-122.292313,"POINT (-122.292313 47.620455)","F250142521"
"143","1455 Nw Leary Way","Medic Response","2025-10-14T11:38:00.000",47.663663,-122.374988,"POINT (-122.374988 47.663663)","F250142519"
"144","2505 2nd Ave","Medic Response","2025-10-14T11:38:00.000",47.615384,-122.347925,"POINT (-122.347925 47.615384)","F250142520"
"145","836 Ne Northgate Way","Aid Response","2025-10-14T11:37:00.000",47.708574,-122.320068,"POINT (-122.320068 47.708574)","F250142518"
"146","3928 S Graham St","Aid Response","2025-10-14T11:32:00.000",47.546018,-122.283106,"POINT (-122.283106 47.546018)","F250142515"
"147","1212 Queen Anne Ave N","Auto Fire Alarm","2025-10-14T11:32:00.000",47.62967,-122.356621,"POINT (-122.356621 47.62967)","F250142516"
"148","14330 Lake City Way Ne","Aid Response","2025-10-14T11:30:00.000",47.732208,-122.292382,"POINT (-122.292382 47.732208)","F250142514"
"149","8001 Seaview Ave Nw","Medic Response","2025-10-14T11:28:00.000",47.687663,-122.402666,"POINT (-122.402666 47.687663)","F250142513"
"150","3801 Discovery Park Blvd","Vessel Sinking On Water","2025-10-14T11:18:00.000",47.660349,-122.408933,"POINT (-122.408933 47.660349)","F250142510"
"151","9703 61st Ave S","Medic Response","2025-10-14T11:08:00.000",47.515128,-122.257016,"POINT (-122.257016 47.515128)","F250142506"
"152","2401 S Irving St","Aid Response","2025-10-14T11:08:00.000",47.591234,-122.301274,"POINT (-122.301274 47.591234)","F250142507"
"153","1st Ave / Spring St","Medic Response","2025-10-14T11:06:00.000",47.605408,-122.336891,"POINT (-122.336891 47.605408)","F250142505"
"154","Nagle Pl / E Howell St","Aid Response","2025-10-14T11:02:00.000",47.617577,-122.320053,"POINT (-122.320053 47.617577)","F250142504"
"155","12026 15th Ave Ne","Alarm Bell","2025-10-14T11:02:00.000",47.715942,-122.312561,"POINT (-122.312561 47.715942)","F250142503"
"156","803 E Denny Way","Aid Response","2025-10-14T11:00:00.000",47.618733,-122.322146,"POINT (-122.322146 47.618733)","F250142501"
"157","808 Howell St","Aid Response","2025-10-14T10:54:00.000",47.614127,-122.334009,"POINT (-122.334009 47.614127)","F250142500"
"158","Rainier Ave S / S Angeline St","MVI - Motor Vehicle Incident","2025-10-14T10:52:00.000",47.559464,-122.285964,"POINT (-122.285964 47.559464)","F250142498"
"159","3204 Sw Morgan St","Low Acuity Response","2025-10-14T10:51:00.000",47.544669,-122.373777,"POINT (-122.373777 47.544669)","F250142496"
"160","857 S Donovan St","Medic Response","2025-10-14T10:51:00.000",47.525613,-122.322172,"POINT (-122.322172 47.525613)","F250142497"
"161","1911 Aurora Ave N","Aid Response","2025-10-14T10:47:00.000",47.640453,-122.346334,"POINT (-122.346334 47.640453)","F250142495"
"162","715 Alder St","Aid Response","2025-10-14T10:46:00.000",47.6028,-122.324262,"POINT (-122.324262 47.6028)","F250142494"
"163","1102 8th Ave","Auto Fire Alarm","2025-10-14T10:38:00.000",47.608665,-122.329131,"POINT (-122.329131 47.608665)","F250142493"
"164","1911 22nd Ave S","Aid Response","2025-10-14T10:34:00.000",47.586234,-122.304237,"POINT (-122.304237 47.586234)","F250142491"
"165","801 Alaskan Way","Aid Response","2025-10-14T10:34:00.000",47.602348,-122.337148,"POINT (-122.337148 47.602348)","F250142490"
"166","85 Pike St","Aid Response","2025-10-14T10:30:00.000",47.608584,-122.340581,"POINT (-122.340581 47.608584)","F250142489"
"167","2625 W Galer St","Automatic Fire Alarm Resd","2025-10-14T10:27:00.000",47.632324,-122.391137,"POINT (-122.391137 47.632324)","F250142487"
"168","12741 30TH AVE NE","Aid Response Yellow","2025-10-14T10:24:00.000",47.721335,-122.296339,"POINT (-122.296339 47.721335)","F250142486"
"169","Ne 85th St / 19th Ave Ne","MVI - Motor Vehicle Incident","2025-10-14T10:24:00.000",47.690311,-122.30793,"POINT (-122.30793 47.690311)","F250142485"
"170","525 N 85th St","Aid Response","2025-10-14T10:20:00.000",47.690586,-122.352281,"POINT (-122.352281 47.690586)","F250142484"
"171","5650 24th Ave Nw","Investigate Out Of Service","2025-10-14T10:16:00.000",47.669822,-122.387587,"POINT (-122.387587 47.669822)","F250142482"
"172","2324 46th Ave Sw","Aid Response","2025-10-14T10:16:00.000",47.582858,-122.390557,"POINT (-122.390557 47.582858)","F250142481"
"173","515 Minor Ave","Aid Response","2025-10-14T10:15:00.000",47.606467,-122.32091,"POINT (-122.32091 47.606467)","F250142480"
"174","609 Yesler Way","Aid Response Yellow","2025-10-14T10:13:00.000",47.601709,-122.326134,"POINT (-122.326134 47.601709)","F250142478"
"175","7101 38th Ave S","Aid Response","2025-10-14T10:13:00.000",47.538872,-122.284744,"POINT (-122.284744 47.538872)","F250142479"
"176","210 Alaskan Way S","Aid Response","2025-10-14T10:07:00.000",47.600593,-122.335915,"POINT (-122.335915 47.600593)","F250142475"
"177","11231 57th Ave S","Medic Response","2025-10-14T10:06:00.000",47.499281,-122.261009,"POINT (-122.261009 47.499281)","F250142474"
"178","35th Ave Sw / Sw Alaska St","Encampment Fire","2025-10-14T10:00:00.000",47.561066,-122.376216,"POINT (-122.376216 47.561066)","F250142472"
"179","4055 Sw Prince St","3RED - 1 +1 + 1","2025-10-14T09:58:00.000",47.58241,-122.383222,"POINT (-122.383222 47.58241)","F250142471"
"180","410 2nd Av Et S","Aid Response","2025-10-14T09:57:00.000",47.601218,-122.331264,"POINT (-122.331264 47.601218)","F250142470"
"181","2564 38th Ave W","Aid Response Yellow","2025-10-14T09:53:00.000",47.642503,-122.406099,"POINT (-122.406099 47.642503)","F250142469"
"182","3rd Ave S / Yesler Way","Aid Response","2025-10-14T09:42:00.000",47.601716,-122.330265,"POINT (-122.330265 47.601716)","F250142467"
"183","2721 4th Ave","Aid Response Yellow","2025-10-14T09:34:00.000",47.617908,-122.34823,"POINT (-122.34823 47.617908)","F250142465"
"184","2225 4th Ave","Aid Response","2025-10-14T09:33:00.000",47.614788,-122.342952,"POINT (-122.342952 47.614788)","F250142466"
"185","S Plum St / 22nd Ave S","Aid Response","2025-10-14T09:28:00.000",47.585499,-122.304237,"POINT (-122.304237 47.585499)","F250142462"
"186","8123 East Marginal Way S","Aid Response","2025-10-14T09:24:00.000",47.530281,-122.306536,"POINT (-122.306536 47.530281)","V250142461"
"187","Ne 92nd St / Lake City Way Ne","MVI - Motor Vehicle Incident","2025-10-14T09:23:00.000",47.695751,-122.305694,"POINT (-122.305694 47.695751)","F250142460"
"188","1410 Ne 66th St","Aid Response","2025-10-14T09:17:00.000",47.676516,-122.313014,"POINT (-122.313014 47.676516)","F250142459"
"189","94 Bay St","Aid Response Yellow","2025-10-14T09:14:00.000",47.618347,-122.35529,"POINT (-122.35529 47.618347)","F250142458"
"190","S Plum St / 22nd Ave S","Aid Response","2025-10-14T09:13:00.000",47.585499,-122.304237,"POINT (-122.304237 47.585499)","F250142457"
"191","Yesler Way / Alaskan Way S","Aid Response","2025-10-14T09:12:00.000",47.60172,-122.336387,"POINT (-122.336387 47.60172)","F250142456"
"192","1745 24th Ave S","1RED 1 Unit","2025-10-14T09:11:00.000",47.587652,-122.3013,"POINT (-122.3013 47.587652)","F250142455"
"193","8448 Beacon Ave S","Aid Response","2025-10-14T08:56:00.000",47.527457,-122.287731,"POINT (-122.287731 47.527457)","F250142453"
"194","2715 25th Ave S","Medic Response","2025-10-14T08:52:00.000",47.579039,-122.300283,"POINT (-122.300283 47.579039)","F250142451"
"195","412 25th Ave S","Aid Response","2025-10-14T08:43:00.000",47.599125,-122.299888,"POINT (-122.299888 47.599125)","F250142450"
